GO	Pvalue	Odds	name	defin
GO:0050785	0.009734104	23.14516684	advanced glycation end-product receptor activity	"Combining with advanced glycation end-products and transmitting the signal to initiate a change in cell activity. Advanced glycation end-products (AGEs) form from a series of chemical reactions after an initial glycation event (a non-enzymatic reaction between reducing sugars and free amino groups of proteins)." [GOC:signaling, PMID:12453678, PMID:12707408, PMID:7592757, PMID:9224812, Wikipedia:RAGE_(receptor)]
GO:0050038	1.31432E-07	69.45461427	L-xylulose reductase (NADP+) activity	"Catalysis of the reaction: NADP(+) + xylitol = L-xylulose + H(+) + NADPH." [EC:1.1.1.10, RHEA:17028]
GO:0046314	0.009734104	23.14516684	phosphocreatine biosynthetic process	"The chemical reactions and pathways resulting in the formation of phosphocreatine, a phosphagen of creatine which is synthesized and broken down by creatine phosphokinase." [GOC:ai]
GO:0099527	0.009734104	23.14516684	postsynapse to nucleus signaling pathway	"A series of molecular signals that conveys information from the postsynapse to the nucleus via cytoskeletal transport of a protein from a postsynapse to the component to the nucleus where it affects biochemical processes that occur in the nucleus (e.g DNA transcription, mRNA splicing, or DNA/histone modifications)." [GOC:dos, PMID:24317321, PMID:25652077]
GO:0004473	0.000767844	13.22743313	malate dehydrogenase (decarboxylating) (NADP+) activity	"Catalysis of the reaction: (S)-malate + NADP+ = pyruvate + CO2 + NADPH + H+." [EC:1.1.1.40]
GO:1990794	1.42254E-05	92.59368334	basolateral part of cell	"The region of a cell situated by the cell sides which interface adjacent cells and near the base. Often used in reference to animal polarized epithelial cells." [PMID:18495799]
GO:0050790	0.00249514	4.96066046	regulation of catalytic activity	"Any process that modulates the activity of an enzyme." [GOC:ai, GOC:ebc, GOC:vw]
GO:0048029	0.001120039	7.716350124	monosaccharide binding	"Interacting selectively and non-covalently with any monosaccharide. Monosaccharides are the simplest carbohydrates; they are polyhydroxy aldehydes H[CH(OH)]nC(=O)H or polyhydroxy ketones H[CHOH]nC(=O)[CHOH]mH with three or more carbon atoms. They form the constitutional repeating units of oligo- and polysaccharides." [CHEBI:35381, GOC:jid]
GO:0097194	0.009637523	4.286708261	execution phase of apoptosis	"A stage of the apoptotic process that starts with the controlled breakdown of the cell through the action of effector caspases or other effector molecules (e.g. cathepsins, calpains etc.). Key steps of the execution phase are rounding-up of the cell, retraction of pseudopodes, reduction of cellular volume (pyknosis), chromatin condensation, nuclear fragmentation (karyorrhexis), plasma membrane blebbing and fragmentation of the cell into apoptotic bodies. When the execution phase is completed, the cell has died." [GOC:mtg_apoptosis, PMID:21760595]
GO:1903094	0.009734104	23.14516684	negative regulation of protein K48-linked deubiquitination	"Any process that stops, prevents or reduces the frequency, rate or extent of protein K48-linked deubiquitination." [GO_REF:0000058, GOC:bf, GOC:PARL, GOC:TermGenie, PMID:21097510]
GO:0070373	0.0074286	2.815706297	negative regulation of ERK1 and ERK2 cascade	"Any process that stops, prevents, or reduces the frequency, rate or extent of signal transduction mediated by the ERK1 and ERK2 cascade." [GOC:add, ISBN:0121245462, ISBN:0896039986]
GO:0097190	7.82271E-07	5.428503951	apoptotic signaling pathway	"A series of molecular signals which triggers the apoptotic death of a cell. The pathway starts with reception of a signal, and ends when the execution phase of apoptosis is triggered." [GOC:mtg_apoptosis]
GO:0046696	0.006846663	9.919892272	lipopolysaccharide receptor complex	"A multiprotein complex that consists of at least three proteins, CD14, TLR4, and MD-2, each of which is glycosylated and which functions as a lipopolysaccharide (LPS) receptor that primes the innate immune response against bacterial pathogens." [PMID:11706042, PMID:9665271]
GO:0035730	0.000667132	34.72013898	S-nitrosoglutathione binding	"Interacting selectively and non-covalently with S-nitrosoglutathione, a nitrosothiol considered to be a natural nitric oxide (NO) donor involved in S-nitrosylation, and in the storage and transport of nitric oxide in biological systems." [CHEBI:50091, GOC:BHF]
GO:0007093	0.009637523	4.286708261	mitotic cell cycle checkpoint	"A cell cycle checkpoint that ensures accurate chromosome replication and segregation by preventing progression through a mitotic cell cycle until conditions are suitable for the cell to proceed to the next stage." [GOC:mtg_cell_cycle]
GO:0046982	0.002074038	1.682351261	protein heterodimerization activity	"Interacting selectively and non-covalently with a nonidentical protein to form a heterodimer." [GOC:ai]
GO:0008239	6.77094E-06	13.50559188	dipeptidyl-peptidase activity	"Catalysis of the hydrolysis of N-terminal dipeptides from a polypeptide chain." [GOC:mb]
GO:0042586	0.009734104	23.14516684	peptide deformylase activity	"Catalysis of the reaction: formyl-L-methionyl peptide + H2O = formate + methionyl peptide." [EC:3.5.1.88, GOC:jl]
GO:0046898	0.005004746	46.29047128	response to cycloheximide	"Any process that results in a change in state or activity of a cell or an organism (in terms of movement, secretion, enzyme production, gene expression, etc.) as a result of a cycloheximide stimulus. Cycloheximide (actidione) is an antibiotic produced by some Streptomyces species which interferes with protein synthesis in eukaryotes." [CHEBI:27641, GOC:ef, ISBN:0198506732]
GO:0043508	0.000276658	8.170766758	negative regulation of JUN kinase activity	"Any process that stops, prevents, or reduces the frequency, rate or extent of JUN kinase activity." [GOC:jl]
GO:0004056	0.009734104	23.14516684	argininosuccinate lyase activity	"Catalysis of the reaction: N-(L-arginino)succinate = fumarate + L-arginine." [EC:4.3.2.1]
GO:0005782	0.00086429	6.31368047	peroxisomal matrix	"The volume contained within the membranes of a peroxisome; in many cells the matrix contains a crystalloid core largely composed of urate oxidase." [GOC:curators, ISBN:0815316194]
GO:0030198	0.007865693	2.472602859	extracellular matrix organization	"A process that is carried out at the cellular level which results in the assembly, arrangement of constituent parts, or disassembly of an extracellular matrix." [GOC:mah]
GO:0008111	0.009734104	23.14516684	alpha-methylacyl-CoA racemase activity	"Catalysis of the reaction: (2S)-2-methylacyl-CoA = (2R)-2-methylacyl-CoA." [EC:5.1.99.4]
GO:0008466	0.005004746	46.29047128	glycogenin glucosyltransferase activity	"Catalysis of the reaction: UDP-glucose + glycogenin = UDP + glucosylglycogenin." [EC:2.4.1.186]
GO:0004357	9.23073E-09	37.04722968	glutamate-cysteine ligase activity	"Catalysis of the reaction: L-cysteine + L-glutamate + ATP = L-gamma-glutamyl-L-cysteine + ADP + 2 H(+) + phosphate." [EC:6.3.2.2, RHEA:13288]
GO:0015078	0.00388039	4.480556585	hydrogen ion transmembrane transporter activity	"Enables the transfer of hydrogen ions from one side of a membrane to the other." [GOC:ai]
GO:1903189	4.12645E-05	46.29670405	glyoxal metabolic process	"The chemical reactions and pathways involving glyoxal." [GO_REF:0000068, GOC:bf, GOC:PARL, GOC:TermGenie]
GO:0047598	0.009734104	23.14516684	7-dehydrocholesterol reductase activity	"Catalysis of the reaction: cholesterol + NADP+ = cholesta-5,7-dien-3-beta-ol + NADPH + H+." [EC:1.3.1.21]
GO:0003824	0.000501927	1.873347979	catalytic activity	"Catalysis of a biochemical reaction at physiological temperatures. In biologically catalyzed reactions, the reactants are known as substrates, and the catalysts are naturally occurring macromolecular substances known as enzymes. Enzymes possess specific binding sites for substrates, and are usually composed wholly or largely of protein, but RNA that has catalytic activity (ribozyme) is often also regarded as enzymatic." [GOC:vw, ISBN:0198506732]
GO:1903178	0.005004746	46.29047128	positive regulation of tyrosine 3-monooxygenase activity	"Any process that activates or increases the frequency, rate or extent of tyrosine 3-monooxygenase activity." [GO_REF:0000059, GOC:bf, GOC:PARL, GOC:TermGenie, PMID:19703902]
GO:0060180	0.009734104	23.14516684	female mating behavior	"The specific behavior of a female organism that is associated with reproduction." [GOC:dph, GOC:pr, GOC:tb]
GO:0042383	0.00182723	2.517013167	sarcolemma	"The outer membrane of a muscle cell, consisting of the plasma membrane, a covering basement membrane (about 100 nm thick and sometimes common to more than one fiber), and the associated loose network of collagen fibers." [ISBN:0198506732]
GO:0032311	0.000667132	34.72013898	angiogenin-PRI complex	"A stable heterodimer of angiogenin and placental ribonuclease inhibitor; interaction between angiogenin and PRI prevents angiogenin binding to its receptor to stimulate angiogenesis." [PMID:2706246, PMID:3470787]
GO:0006897	2.43644E-05	2.849282898	endocytosis	"A vesicle-mediated transport process in which cells take up external materials or membrane constituents by the invagination of a small region of the plasma membrane to form a new membrane-bounded vesicle." [GOC:mah, ISBN:0198506732, ISBN:0716731363]
GO:2001189	0.000667132	34.72013898	negative regulation of T cell activation via T cell receptor contact with antigen bound to MHC molecule on antigen presenting cell	"Any process that stops, prevents or reduces the frequency, rate or extent of T cell activation via T cell receptor contact with antigen bound to MHC molecule on antigen presenting cell." [GOC:obol]
GO:0005078	0.000257995	11.57469722	MAP-kinase scaffold activity	"The binding activity of a molecule that functions as a physical support for the assembly of a multiprotein mitogen-activated protein kinase (MAPK) complex. Binds multiple kinases of the MAPKKK cascade, and also upstream signaling proteins, permitting those molecules to function in a coordinated way. Bringing together multiple enzymes and their substrates enables the signal to be transduced quickly and efficiently." [PMID:12511654, PMID:15213240, PMID:9405336]
GO:0005769	0.006029621	2.005029482	early endosome	"A membrane-bounded organelle that receives incoming material from primary endocytic vesicles that have been generated by clathrin-dependent and clathrin-independent endocytosis; vesicles fuse with the early endosome to deliver cargo for sorting into recycling or degradation pathways." [GOC:mah, NIF_Subcellular:nlx_subcell_20090701, PMID:19696797]
GO:0018345	0.002699798	4.155233205	protein palmitoylation	"The covalent attachment of a palmitoyl group to a protein." [GOC:jl, PMID:15520806]
GO:0048471	0.000316554	1.777041391	perinuclear region of cytoplasm	"Cytoplasm situated near, or occurring around, the nucleus." [GOC:jid]
GO:0043136	0.009734104	23.14516684	glycerol-3-phosphatase activity	"Catalysis of the reaction: glycerol 3-phosphate + H2O = glycerol + phosphate." [GOC:jl]
GO:0031232	0.006846663	9.919892272	extrinsic component of external side of plasma membrane	"The component of a plasma membrane consisting of gene products and protein complexes that are loosely bound to its external surface, but not integrated into the hydrophobic region." [GOC:dos, GOC:mah]
GO:0006096	0.000639457	4.7491648	glycolytic process	"The chemical reactions and pathways resulting in the breakdown of a carbohydrate into pyruvate, with the concomitant production of a small amount of ATP and the reduction of NAD(P) to NAD(P)H. Glycolysis begins with the metabolism of a carbohydrate to generate products that can enter the pathway and ends with the production of pyruvate. Pyruvate may be converted to acetyl-coenzyme A, ethanol, lactate, or other small molecules." [GOC:bf, GOC:dph, ISBN:0201090910, ISBN:0716720094, ISBN:0879010479, Wikipedia:Glycolysis]
GO:0036478	0.005004746	46.29047128	L-dopa decarboxylase activator activity	"Interacts with and increases L-dopa decarboxylase activity." [GOC:bf, GOC:PARL]
GO:0019287	3.75505E-06	23.15126282	isopentenyl diphosphate biosynthetic process, mevalonate pathway	"The chemical reactions and pathways resulting in the formation of isopentenyl diphosphate, via the intermediate mevalonate. This pathway converts acetate, in the form of acetyl-CoA, to isopentenyl diphosphate (IPP), the fundamental unit in isoprenoid biosynthesis, through a series of mevalonate intermediates." [GOC:go_curators, MetaCyc:PWY-922]
GO:0021541	0.005004746	46.29047128	ammon gyrus development	"The process whose specific outcome is the progression of the ammon gyrus over time, from its formation to the mature structure. The ammon gyrus, often subdivided into the CA1 and CA3 regions, is one of the two interlocking gyri of the hippocampus that is rich in large pyramidal neurons." [GO_REF:0000021, GOC:cls, GOC:dgh, GOC:dph, GOC:jid, GOC:mtg_15jun06, ISBN:0838580343]
GO:0004345	0.00494423	11.57324205	glucose-6-phosphate dehydrogenase activity	"Catalysis of the reaction: D-glucose 6-phosphate + NADP+ = D-glucono-1,5-lactone 6-phosphate + NADPH + H+." [EC:1.1.1.49]
GO:0005829	0.000204788	1.347041332	cytosol	"The part of the cytoplasm that does not contain organelles but which does contain other particulate matter, such as protein complexes." [GOC:hjd, GOC:jl]
GO:0004029	0.00105178	6.039154671	aldehyde dehydrogenase (NAD) activity	"Catalysis of the reaction: an aldehyde + NAD+ + H2O = an acid + NADH + H+." [EC:1.2.1.3]
GO:0051444	0.002780405	8.417357362	negative regulation of ubiquitin-protein transferase activity	"Any process that stops, prevents, or reduces the frequency, rate or extent of ubiquitin transferase activity." [GOC:ai, GOC:tb]
GO:1903197	0.005004746	46.29047128	positive regulation of L-dopa biosynthetic process	"Any process that activates or increases the frequency, rate or extent of L-dopa biosynthetic process." [GO_REF:0000058, GOC:bf, GOC:PARL, GOC:TermGenie, PMID:16731528]
GO:0071839	0.005004746	46.29047128	apoptotic process in bone marrow	"The apoptotic process in cells in the bone marrow." [GOC:mah, GOC:mtg_apoptosis, PMID:17063141]
GO:1905259	0.000667132	34.72013898	negative regulation of nitrosative stress-induced intrinsic apoptotic signaling pathway	"Any process that stops, prevents or reduces the frequency, rate or extent of intrinsic apoptotic signaling pathway in response to nitrosative stress." [GO_REF:0000058, GOC:bf, GOC:PARL, GOC:TermGenie, PMID:14752510]
GO:0047555	0.002780405	8.417357362	3',5'-cyclic-GMP phosphodiesterase activity	"Catalysis of the reaction: guanosine 3',5'-cyclic phosphate + H2O = guanosine 5'-phosphate." [EC:3.1.4.35, MetaCyc:35-CYCLIC-GMP-PHOSPHODIESTERASE-RXN]
GO:0008418	0.009734104	23.14516684	protein-N-terminal asparagine amidohydrolase activity	"Catalysis of the reaction: protein-L-asparagine + H2O = protein-L-aspartate + NH3. This reaction is the deamidation of an N-terminal asparagine residue in a peptide or protein." [PMID:8910481]
GO:0097153	0.002780405	8.417357362	cysteine-type endopeptidase activity involved in apoptotic process	"Catalysis of the hydrolysis of internal, alpha-peptide bonds in a polypeptide chain by a mechanism in which the sulfhydryl group of a cysteine residue at the active center acts as a nucleophile, and contributing to the apoptotic process." [GOC:mtg_apoptosis]
GO:0050787	4.12645E-05	46.29670405	detoxification of mercury ion	"Any process that reduce or remove the toxicity of mercuric ion. These include transport of mercury away from sensitive areas and to compartments or complexes whose purpose is sequestration of mercury ion and/or reduction of mercury ion (Hg[II]) to metallic mercury (Hg[0])." [PMID:10774920]
GO:0035456	0.00912622	8.679879937	response to interferon-beta	"Any process that results in a change in state or activity of a cell or an organism (in terms of movement, secretion, enzyme production, gene expression, etc.) as a result of an interferon-beta stimulus. Interferon-beta is a type I interferon." [GOC:sl, PMID:9561374, PR:000008924]
GO:0051496	0.009875265	3.177417918	positive regulation of stress fiber assembly	"Any process that activates or increases the frequency, rate or extent of the assembly of a stress fiber, a bundle of microfilaments and other proteins found in fibroblasts." [GOC:ai]
GO:0061668	0.009734104	23.14516684	mitochondrial ribosome assembly	"The aggregation, arrangement and bonding together of the mitochondrial ribosome and of its subunits." [GOC:dph]
GO:2000249	2.05341E-05	10.80437715	regulation of actin cytoskeleton reorganization	"Any process that modulates the frequency, rate or extent of actin cytoskeleton reorganization." [GOC:BHF]
GO:0004134	0.009734104	23.14516684	4-alpha-glucanotransferase activity	"Catalysis of the transfer of a segment of a (1->4)-alpha-D-glucan to a new 4-position in an acceptor, which may be glucose or (1->4)-alpha-D-glucan." [EC:2.4.1.25]
GO:0006534	4.12645E-05	46.29670405	cysteine metabolic process	"The chemical reactions and pathways involving cysteine, 2-amino-3-mercaptopropanoic acid." [GOC:go_curators]
GO:0005041	0.000869587	8.267542566	low-density lipoprotein receptor activity	"Combining with a low-density lipoprotein particle and delivering the low-density lipoprotein into the cell via endocytosis." [GOC:bf, ISBN:0198506732]
